,size,sparsity,min,max,start,end,hardware
240,1000,0.5,50,100,2024-10-03 03:11:16+00:00,2024-10-03 03:11:17+00:00,1_8
241,1000,0.5,50,1000,2024-10-03 03:11:17+00:00,2024-10-03 03:11:18+00:00,1_8
242,1000,0.5,50,10000,2024-10-03 03:11:18+00:00,2024-10-03 03:11:19+00:00,1_8
243,1000,0.75,1,100,2024-10-03 03:11:19+00:00,2024-10-03 03:11:20+00:00,1_8
244,1000,0.75,1,1000,2024-10-03 03:11:20+00:00,2024-10-03 03:11:21+00:00,1_8
245,1000,0.75,1,10000,2024-10-03 03:11:22+00:00,2024-10-03 03:11:23+00:00,1_8
246,1000,0.75,10,100,2024-10-03 03:11:23+00:00,2024-10-03 03:11:24+00:00,1_8
247,1000,0.75,10,1000,2024-10-03 03:11:24+00:00,2024-10-03 03:11:25+00:00,1_8
248,1000,0.75,10,10000,2024-10-03 03:11:25+00:00,2024-10-03 03:11:26+00:00,1_8
249,1000,0.75,50,100,2024-10-03 03:11:26+00:00,2024-10-03 03:11:27+00:00,1_8
250,1000,0.75,50,1000,2024-10-03 03:11:27+00:00,2024-10-03 03:11:28+00:00,1_8
251,1000,0.75,50,10000,2024-10-03 03:11:29+00:00,2024-10-03 03:11:30+00:00,1_8
252,2000,0.0,1,100,2024-10-03 09:18:35+00:00,2024-10-03 09:18:43+00:00,1_8
253,2000,0.0,1,1000,2024-10-03 09:18:43+00:00,2024-10-03 09:18:50+00:00,1_8
254,2000,0.0,1,10000,2024-10-03 09:18:50+00:00,2024-10-03 09:18:58+00:00,1_8
255,2000,0.0,10,100,2024-10-03 09:18:58+00:00,2024-10-03 09:19:05+00:00,1_8
256,2000,0.0,10,1000,2024-10-03 09:19:05+00:00,2024-10-03 09:19:13+00:00,1_8
257,2000,0.0,10,10000,2024-10-03 09:19:13+00:00,2024-10-03 09:19:20+00:00,1_8
258,2000,0.0,50,100,2024-10-03 09:19:20+00:00,2024-10-03 09:19:28+00:00,1_8
259,2000,0.0,50,1000,2024-10-03 09:19:28+00:00,2024-10-03 09:19:35+00:00,1_8
260,2000,0.0,50,10000,2024-10-03 09:19:35+00:00,2024-10-03 09:19:42+00:00,1_8
261,2000,0.25,1,100,2024-10-03 09:19:43+00:00,2024-10-03 09:19:50+00:00,1_8
262,2000,0.25,1,1000,2024-10-03 09:19:50+00:00,2024-10-03 09:19:57+00:00,1_8
263,2000,0.25,1,10000,2024-10-03 09:19:58+00:00,2024-10-03 09:20:05+00:00,1_8
264,2000,0.25,10,100,2024-10-03 09:20:05+00:00,2024-10-03 09:20:12+00:00,1_8
265,2000,0.25,10,1000,2024-10-03 09:20:13+00:00,2024-10-03 09:20:20+00:00,1_8
266,2000,0.25,10,10000,2024-10-03 09:20:20+00:00,2024-10-03 09:20:27+00:00,1_8
267,2000,0.25,50,100,2024-10-03 09:20:28+00:00,2024-10-03 09:20:35+00:00,1_8
268,2000,0.25,50,1000,2024-10-03 09:20:35+00:00,2024-10-03 09:20:42+00:00,1_8
269,2000,0.25,50,10000,2024-10-03 09:20:43+00:00,2024-10-03 09:20:50+00:00,1_8
270,2000,0.5,1,100,2024-10-03 09:20:50+00:00,2024-10-03 09:20:57+00:00,1_8
271,2000,0.5,1,1000,2024-10-03 09:20:58+00:00,2024-10-03 09:21:05+00:00,1_8
