canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds,hardware
0.4,11129516.0,18801,0.6,1,90.0,1.0,00348b9c-5f6b-42c6-a588-433c8e05def1,1854216.0,44758.0,63060.75205890292,25582391295.0,53883.88509395768,77628.28450312153,803337445.1747947,661488163.9718685,7.0,2_16
0.2,11134328.0,18801,0.2,1,90.0,8.0,ddfb1afd-3776-4e56-989c-ccb91cee8244,1854216.0,33653.0,67346.12970283384,38579494911.0,89994.77039227016,179335.92541576864,620154897.1492133,1555230446.7940552,6295.0,2_16
0.2,11137716.0,18801,0.2,1,90.0,1.0,7dda1bb5-17c0-4dec-ade2-9bf4cb0b8c7d,1854216.0,53768.0,90165.37535058096,38580080639.0,121388.9368027333,280077.56465752376,842848220.0780402,2864636419.1852646,23.0,2_16
0.2,11100880.0,18801,0.6,1,90.0,8.0,4e5977cf-599a-46ed-96a8-beb9f385329c,1854216.0,29505.0,103757.15927308344,51037052927.0,67755.7267278486,179433.09352108923,659585193.3159823,978805495.9012464,48.0,2_16
0.2,11101152.0,18801,0.6,1,90.0,1.0,0cd2d928-b1b1-45f4-8395-5642279975bf,1854216.0,34115.0,120204.37481940351,51037052927.0,73064.95020066644,184530.02470080185,761836083.3026683,979963780.6742992,35.0,2_16
0.4,11158436.0,18801,0.2,1,90.0,8.0,b6fa4070-2809-4f7b-93f7-3b324877eb49,1854216.0,39790.0,72483.44301368593,26035326975.0,60116.341756218906,129384.23930749032,657458535.0583556,1314162406.1098895,81.0,2_16
0.4,11139544.0,18801,0.2,1,90.0,1.0,d11e99de-229d-4f08-ab5c-d9e583b2d1f1,1854216.0,50875.0,87182.37514174616,26035326975.0,67164.86526976814,137931.34995848674,791415843.3145049,1315621772.3352044,84.0,2_16
0.4,11051828.0,18801,0.6,1,90.0,8.0,1b92dc37-a6f1-4276-ae89-cf82ecc02732,1854216.0,30041.0,79444.16691238858,37134168063.0,52115.60445652668,111143.57781619372,607098808.9138527,1304514241.3850665,80.0,2_16
0.4,11051832.0,18801,0.6,1,90.0,1.0,de0dba03-3102-4437-8892-96ef5a8a2417,1854216.0,43180.0,99821.3799664664,37134168063.0,60894.75944582095,120787.27155199232,773043024.4399549,1306041944.591672,64.0,2_16
0.2,11086360.0,18801,0.2,1,90.0,8.0,77847fd2-e133-4ba3-b382-218e1ab469e3,1854216.0,40677.0,74254.47480534235,25490305023.0,59785.68992357066,102224.95900477344,667661168.4396498,1307066312.813312,40.0,2_16
0.2,11085120.0,18801,0.2,1,90.0,1.0,1c9ad464-690d-48d2-8997-4c1616915016,1854216.0,49963.0,87168.79791429041,25490305023.0,66197.45421927772,107786.1055045004,785703806.7673578,1308463952.6361864,39.0,2_16
0.2,11120708.0,18801,0.6,1,90.0,8.0,5c1dbbcc-a235-4417-b636-1838eb0954fe,1854216.0,37992.0,68913.5649302857,25567010815.0,63346.79146201281,111532.529154014,686010511.2766726,1309735916.193874,24.0,2_16
0.2,11120532.0,18801,0.6,1,90.0,1.0,9166846b-88cc-4270-a5a1-40e1d6a7f6f7,1854216.0,43793.0,78321.8749330763,25567010815.0,68394.42744901727,115864.07354895474,775673738.3153923,1310923488.783781,25.0,2_16
0.4,11115180.0,18801,0.2,1,90.0,1.0,50c2f587-c247-4923-ac4f-e20ed7c51cb4,1854216.0,36496.0,90528.9728077032,38118449152.0,86702.14437718826,150489.46585909362,762477585.3698665,512115278.0040482,41.0,2_16
0.4,11100780.0,18801,0.2,1,90.0,8.0,a6c5bf38-fce0-4431-94df-7a26fe2bf71d,1854216.0,24704.0,63298.12288642336,38118449152.0,74688.71658361824,136631.90641894587,566119996.2103639,510297877.3877129,44.0,2_16
0.4,11092500.0,18801,0.6,1,90.0,1.0,1b5e3c34-063f-4b0b-bca2-3dc48a7c60cb,1854216.0,39464.0,63460.879274254126,24377425919.0,143457.13019688168,251281.34120240284,779369772.7637558,1318837033.9159105,58.0,2_16
0.4,11092648.0,18801,0.6,1,90.0,8.0,f8588128-e836-4e6c-897b-4a577a198506,1854216.0,27570.0,47933.110431695786,24377425919.0,124616.27789040469,224632.2405692116,600180959.960522,1316107466.5148685,84.0,2_16
0.2,11153096.0,18801,0.2,1,90.0,1.0,08cb89bc-a7e6-47a9-8109-3b25de7d159a,1854216.0,34144.0,61096.89195111368,25315229695.0,141126.0142033432,321334.6617373648,777462190.352339,2062121933.791543,10.0,2_16
0.2,11158948.0,18801,0.2,1,90.0,8.0,fcb18ec1-2cdd-48c2-8877-0a71e4f93276,1854216.0,31314.0,55432.258503141566,25315229695.0,136011.13308114844,314932.69691058144,696551702.3533897,2060731484.806804,8.0,2_16
0.2,11015672.0,18801,0.6,1,90.0,1.0,849ecb5b-cbea-4099-9364-411b6e46ec30,1854216.0,36401.0,91522.91739934355,39372685311.0,80509.90327055287,142620.73103973258,758846714.5857799,748204198.5080305,23.0,2_16
0.2,11015908.0,18801,0.6,1,90.0,8.0,e8652cbe-859a-4eb3-849e-8db611b12f25,1854216.0,29301.0,77188.66422339597,39372685311.0,70635.16961613152,130085.3455508792,631560194.3069222,746793487.2327875,21.0,2_16
0.4,11113400.0,18801,0.2,1,90.0,8.0,b67a239b-56b0-423a-9c6a-a174b578b3c9,1854216.0,33260.0,89066.38343917805,39307743231.0,53088.86254579629,155005.16494791425,697315689.0408876,665737048.0831913,35.0,2_16
0.4,11112476.0,18801,0.2,1,90.0,1.0,59bbf523-be2a-4fcb-86e7-c218ffdc72aa,1854216.0,34840.0,93802.42770990323,39307743231.0,56108.113520463565,157492.49836822768,749903729.7077229,666016928.3146459,37.0,2_16
0.4,11146424.0,18801,0.6,1,90.0,1.0,2a1da948-3203-4be3-9b9c-9ff9693ec534,1854216.0,22691.0,38212.09361322578,25999851519.0,69068.93890131853,123952.30699838063,575867808.1267617,1215404517.3878236,48.0,2_16
0.4,11145996.0,18801,0.6,1,90.0,8.0,8819ce03-bd95-4392-b6a3-a4efaab1a6f1,1854216.0,37177.0,56344.25338775577,25999851519.0,85246.86162928416,144880.95883879092,781661722.0407685,1217912247.2322345,51.0,2_16
0.3,9258472.0,23361,0.3,1,90.0,5.0,c63e35d3-ef0d-433e-9d81-ad12ee145f6f,2543220.0,34766.0,70654.27745407523,39547244543.0,21872.510828620107,19466.459026235098,409038481.1317147,4396159.756354344,59.0,2_16
0.3,9258292.0,23361,0.3,1,90.0,3.0,04abbc4f-18a7-450d-a23f-3da4711c5d9b,2543220.0,35318.0,71766.90130503078,39547244543.0,21982.03046302361,19582.011084447004,409199952.2838388,4437038.692115018,59.0,2_16
0.3,9256584.0,23361,0.3,1,90.0,3.0,c3154d9a-da69-4ec4-a895-c38b0ae3a97b,2543220.0,34862.0,54367.93673729061,30314008575.0,28404.37347687284,32548.49758077401,421073989.0413688,5212677.232467188,66.0,2_16
0.3,9256680.0,23361,0.3,1,90.0,5.0,bb8541b0-aa7f-4f06-a89c-daa6976924b4,2543220.0,35666.0,55866.97004840603,30314008575.0,28540.720983868538,32694.119681426204,421033734.50335264,5266980.314562979,49.0,2_16
